title,description
G7 summit: How significant are group's climate pledges?,"G7 leaders make new pledges to combat climate change, but campaigners say they lack detail."
EU antitrust officials are investigating Google's vast ads business,"The European Union has launched an antitrust investigation into Google's vast advertising business, claiming that the company may have disadvantaged rival services, making it harder for brands to reach consumers and for publishers to fund their content."
Lord Clarke: Royal Yacht 'silly populist nonsense',"Conservative peer Lord Clarke has called the possibility of a new royal yacht ""silly populist nonsense""."
How sexy blue aliens invaded Amazon's bestseller lists,"'Ice Planet Barbarians' author Ruby Dixon and TikTok influencer Emma Carter talk about the rise of the sultry, escapist series, which grew in popularity via BookTok."
